	description	C(Status)_p	C(Status)_q	EVR	Status_fc	_H005_y_0	_H010_n_0	_H011_n_0	_H012_y_0	_H013_y_0	_H014_y_0	_H015_n_0	_H016_n_0	_H017_n_0	_H019_y_0	_H020_n_0	_H021_n_0	_H023_y_0	_H027_n_0	_H028_n_0	_H029_y_0	_H030_n_0	_H031_n_0	_H033_n_0	_H035_y_0	_H036_n_0	_H037_n_0	_H038_n_0	_H039_n_0	_H040_n_0	_H041_n_0	_H042_y_0	_H043_y_0	_H044_y_0	_H045_y_0	_H046_n_0	_H047_y_0	_H048_y_0	_H049_n_0	_H051_y_0	_H053_n_0	_H054_n_0	_H055_n_0	_H056_n_0	_H057_n_0	_H058_n_0	_H059_n_0	_H060_n_0	_H062_n_0	_H063_n_0	_H065_y_0	_H066_y_0	_H069_y_0	_H072_n_0	_H073_y_0	_H077_n_0	_H078_y_0	_H079_n_0	_H080_y_0	_H081_n_0	_H082_n_0	_H084_n_0	_H088_n_0	_H089_n_0	_H090_y_0	_H093_n_0	_H094_n_0	_H095_n_0	_H099_n_0	_H100_n_0	_H101_n_0	_H102_n_0	_H103_n_0	_H104_n_0	_H105_n_0	_H107_n_0	_H108_n_0	_H109_n_0	_H110_n_0	_H111_y_0	_H113_n_0	_H115_n_0	_H117_y_0	_H118_y_0	_H135_y_0	_H148_y_0	_H163_n_0	_H164_n_0	_H165_n_0	_H167_n_0	_H169_n_0	_H171_y_0	_H173_y_0	_H187_n_0	_H192_n_0	_H194_n_0	_H197_y_0	_H225_n_0	_H228_n_0	_H231_n_0	_H233_n_0	_H234_n_0	_H236_n_0	_H238_n_0	_H239_n_0	_H240_n_0	_H242_n_0	_H243_n_0	_H246_n_0	_H247_n_0	_H249_n_0	_H255_y_0	_H257_n_0	_H260_y_0	_H265_y_0	_H266_y_0	_H270_n_0	_H271_n_0	_H272_y_0
R-HSA-2173789	TGF-beta receptor signaling activates SMADs,8	0.2383637239539066	0.18545392167918473	0.4402303360889155	0.7225884788628366	0.13732674095198139	-3.163967049632097	-0.016297506831858228	3.0217808785757057	3.4046506148440723	3.960430201318596	-0.7383107554707252	-5.608063960600982	3.5608579730632304	-0.32801786458185206	0.6300966411586412	1.7588355071897699	2.421313400957752	3.6621870781322654	-3.199037987238358	-0.1984946540740035	0.4535677651664966	-3.366782200795964	-1.2680309151713411	-1.9769922933084965	-0.011172149586761958	1.301757669200032	-3.211840294216783	0.24308431575706482	-6.441150520465532	1.9998975694562717	-2.4617980792605954	1.3568779920970728	-5.423801596721238	0.5504194698236752	0.03735230934070374	0.25984544056508346	0.05904627355564374	-2.908381522319116	-0.3881413912576834	-2.9027363019305357	0.32771955316168605	0.8021817611395698	0.34662257596889734	1.2643185699064319	1.0597045338564015	-1.6272672165310265	1.5369899746589017	-2.6471170845550125	-4.0381240708255834	-0.09737062047776852	-1.1166273211764606	2.2409268449997004	-2.8020450073219076	3.0238238331873015	-2.376191535403271	2.515580556337731	1.2730075300457961	1.6300514876398235	-1.9382090419229454	-1.387986925279167	0.9776521784666845	0.7009263864344071	1.692653247287138	-0.014968221313179259	-0.6434513233556136	-3.3499845387760083	-1.2516745395301168	-2.239061370328709	0.44472884565103504	-5.87637171435084	-5.295889710482508	0.33190738114230345	2.3865201462188033	-2.753587725640592	0.03828229649574155	1.726019412241132	-5.4498338561186275	0.2499259165431738	0.36560809092683205	-3.9444184495352608	3.6485758985411296	4.074594159360349	1.7564419225798842	2.207076006990486	-3.477032593405316	-0.684353398193645	1.3889119004570658	-1.8382178159585958	3.5086791457988165	-2.289631915733694	2.4079222308129227	0.4149189010214365	1.8963694479212736	0.6667253039683619	-4.556023180451259	22.14535381649704	1.200887749093613	-3.202953398104963	0.6616867332922265	3.3364609006983366	-1.059480888331423	0.5469946615287609	-1.730412728431851	-4.58022024191283	-1.9940867443103125	0.4194012972520811	1.5700708634440657	1.8937441437627986	-4.695804703211633	-3.2495749082560077	4.428367825118324	1.3550350699247162	-0.013473718262968526	3.85221588606456	2.203887995306994	0.33936930611572536	0.023506459000778204	6.1327869629371845
R-HSA-73856	RNA Polymerase II Transcription Termination,3	0.9378592175650258	0.422250297375379	0.9219152641931584	0.0027257184216952605	-0.4983661389148098	-0.6386423517612551	-1.943196124891895	1.2013536561144365	-0.5261768005869005	0.14094476112503673	1.0287262657195375	-2.004220143269104	-0.13952655984440754	-0.12446240738355191	1.307618458667732	1.4925912208346834	1.3012362681493537	1.6580886755188127	0.26839611147183634	1.592130535443354	-0.755828644224982	0.25623389779230493	-1.4346189795220714	-1.6517310995254384	-1.723214524982051	0.4566041762554072	-1.601899494539755	0.15011779268048406	-1.3608930617977915	0.8102004078790358	-0.75928089978509	0.5873933362766589	-3.018487064458749	0.21076575547165496	0.4650859755345025	0.718183098892583	1.6364401296765891	-1.338424460598367	-0.6938654726401403	0.09236367353896932	0.5834118930052342	2.011472510112182	1.407725191383019	-0.13213206323375662	1.1540326213921073	-1.4042017396172453	0.8888843388718145	-0.5385058416410775	-0.9099084498831315	1.329963550974043	0.11005727546026361	1.433332176811364	-0.2078541765216084	-2.339559908016565	-1.870241455873879	1.418590227025068	-1.166621071556432	0.545177875635382	1.3224258500518646	-0.41849237037786474	0.34236951416874023	-1.7377623557123727	-1.020230386833562	0.30005983424493465	-1.524618946675876	-2.024591099245243	0.02644791019968832	-1.479143814473467	-2.6065670021608853	-2.1770631594480645	-1.5252615874196598	-1.9731395826425484	0.006630782204770017	-2.495425196824626	0.20621902647768603	2.1303857425732757	-2.1295436672374026	-0.277615873803015	0.724349409251934	-0.9850029074015257	1.063621371860647	-0.8082563177675065	1.9432748484659015	-0.16135374088482912	-0.297055055739717	-1.3851622453188002	0.5860089788248409	-0.6011626827856527	-1.5155345008338914	-1.1100785152573225	-0.9053645430813466	0.1283551678188094	0.3177811396610504	-0.3021099274377986	-1.018999909985483	20.693678505660387	-0.9713241673064136	-0.12613816777135614	-0.5444309492896999	1.634353251752006	0.14823761640194016	1.9102335331962057	-0.03243710291274963	-1.1619969882024583	-1.982023511885529	-2.1515318314337666	2.0849887016449635	-0.40371197595275315	-2.5376320071921508	-0.2803190630037074	0.8377953340064058	-0.14165422159947672	-0.04605643727574598	0.6661956124861036	1.9190258595000662	2.0383337754806017	0.6794957885193227	1.6732613360788149
R-HSA-5579021	Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3),1	0.6769950411629585	0.355703721524003	1.0	-0.09089922309470289	4.825557068497	1.52884844915265	2.5631784304965297	5.5125660449557685	1.52884844915265	3.17853888232919	3.21003311609343	4.7394697766348095	3.84556943737665	4.02486067516004	1.52884844915265	3.04636612799349	5.3308903876912686	3.5000571088150196	2.3367554771462	4.45842688880404	3.84122455680808	6.11778549167102	2.41553277378336	5.41286245108387	3.9877687875594106	1.52884844915265	2.61166736446729	3.49158341937604	5.8203870968304	2.6582691107393397	4.84062585206552	5.44683885028227	4.58158956400503	2.6449457023189	2.9435008809053795	2.8939051978774204	2.7022507032340197	4.14086961443826	4.5087749896995595	2.4444782477634903	4.843272011157071	2.25228622836246	2.76672550137137	3.0526810589977504	2.34903889469715	2.89738953483435	3.1449268426072097	2.53991026336752	3.68575655291133	3.40680650634667	2.46993216702415	2.2440924410465297	2.67300574642386	4.27521106733458	3.0421417923755896	2.23933321660559	2.96770882807265	2.67006565289956	6.20797509102319	4.55192141421939	3.24596874472956	4.6445238968790195	2.34114126823125	5.16462770476912	2.34451257628768	3.35276389443699	4.48810902435266	2.3116483014094302	3.0075018574497596	3.88841618916661	4.94728399099842	4.89615278433629	2.29158681944705	2.73663856835627	3.6825894134267	2.27497191251539	1.52884844915265	2.2921683805557502	4.6878524643311605	1.52884844915265	5.23987944273345	2.86736541845705	3.94805640882443	3.49102430281053	5.16755877509099	3.62173585097567	4.025441629235971	2.2434687818687795	3.5831174929046	3.715155253758871	4.48952566858894	5.04994770501642	2.3778756804789998	5.47749038978114	3.40894318099664	0.0764424224576325	3.7137428628726803	3.2257088666200002	2.7067469130536	3.4877457843229003	2.92246679986148	3.66648608159372	3.35571882918006	4.28239823556454	3.09651796009457	3.4981184086151598	4.15903125985428	4.38710181201128	3.28982535498249	3.65129960887629	1.52884844915265	3.3164910800048797	5.542328052190992	2.72878319464365	2.43818503816412	3.64690482998044	4.704255351641621	2.18935542947372
R-HSA-500792	GPCR ligand binding,188	0.8712976670802834	0.4051111315832355	0.21510168838194563	0.6980594040357746	-12.2116149900609	-19.24898860532224	2.704493468692496	-3.661943593340281	-8.214114050506879	0.00816985499186339	-8.39442321056954	-1.902897699409138	4.431914789077972	1.3103769039695974	0.6715147949627998	-5.897048525704092	-0.9597521520976088	4.666839533870188	-11.099762724028434	-12.57432097996739	-12.71093770069547	-13.847291610967927	1.1376153955534591	-4.960381638634359	-6.442094216297216	3.825014951393914	2.381193535643105	-4.462389928795208	3.163963243145962	-8.27191626947749	2.564124123366356	1.4556500965504242	-6.532617714401392	8.01203613418599	-1.7378608129854718	-13.128547958643729	6.570544182683633	7.2412046098628435	-0.1921227122739532	6.2630756716380995	-7.970245002959704	-1.646128145382037	-4.966947592770252	1.2682206625070576	-7.0409121604919145	5.300341726230798	2.3230187716029524	-7.112333213189096	-8.72308930789618	-4.400164011747518	-3.979343527544858	-10.33974968284618	-2.4464446942695797	8.600052348400672	3.05541692802815	-5.354409653219953	3.826909230877067	1.4960526121754278	-14.67393177337422	-3.4694823460917026	-5.619588611811801	5.482746255851218	2.0831203899983075	-7.99547394643316	-21.603877937945683	-10.217117385240691	-4.363065097385542	-0.20664678124374788	5.586994311967984	-8.288383023940442	-8.484110100888856	-1.0108352392360918	5.344145202315667	-13.170174473998694	4.435401457148707	-3.8920359299011373	1.5405941417305642	5.234834640907482	-2.288789868697424	3.5616798872324127	9.42585070680577	6.738846859234497	-8.248710167603495	8.872773683479005	6.952844533555191	7.1582649109776195	2.9722514004465634	5.735295254885121	2.7856975730713853	1.7320046751771634	5.35466537938458	7.779745560909189	2.0042944400980813	1.637048230427566	-2.4410140811461223	67.23109055412628	8.992066780796508	2.6176214513563725	3.445785451629456	6.259994760891161	3.8288302879430307	9.976619272453055	-2.2852894214137587	0.7424088155609083	-2.774315257926647	6.6601476211820865	5.040955923604414	3.2715066355935027	-2.3213902843011898	5.077910173741547	4.925886945966453	2.6029807876814592	5.583780032816742	5.665908787410068	0.017474855473914263	6.449226929898808	3.38748736336782	7.310499318568164
R-HSA-1482922	Acyl chain remodelling of PI,5	3.9658845118909206e-05	0.00020436769075771226	0.4064839618619757	2.055689097078305	-1.3187145247978553	-1.6665888409942158	-1.9557052419988592	-2.5614246260402074	1.4425730407984616	-3.7316536460809493	-2.4412160239216845	3.0541757024132083	-1.1189397614577445	2.2827432805790955	-3.0486433446390784	-3.4246994692044126	-2.4408735258092036	-1.898337453191135	2.9728289697685537	2.0063329908465604	0.5527922450697432	-0.6197788122759412	-2.928667877571418	-3.3771014959943004	-3.8522166265021998	-4.035467917796645	-0.8978469746762827	-0.5993946279990884	0.9922409265983165	-3.86736612878808	2.5032625332144356	1.2033379070071362	4.559410165967668	3.554202244197546	1.2257671074030383	2.904970521917648	2.9549935457615377	-1.8655552031111629	2.5012944422062815	1.5399906687421498	-1.130349360439513	-2.35450870973341	-1.0752281930902283	-0.6162209734412114	-0.8175740781334053	-1.2038969599867322	-0.45686216468208607	2.3035275413873535	0.6927779577645989	2.471037050536683	0.8954771088669032	-0.019913582065565462	4.513096410698626	-4.821150798834496	-1.6874731980969409	-0.026964311038447826	2.5270726906395025	-1.856682745458604	0.2958534096123995	-4.117688335596154	-1.8424891949969162	-0.2143115235058865	-3.669973408181045	0.7744412678462518	0.7838090124048289	2.583534511551074	3.5517451760682603	-2.931371275028106	-1.1830012240658114	3.5532483802804937	2.65689992032294	-1.868189451422625	-2.9088664091120897	0.1463555754128116	3.455858141036378	0.35796908505518205	3.112110559044224	-1.3484476827602179	2.676814582067369	0.5735422680100802	-2.777859915107117	-2.634333589146575	-1.3190695598154347	-3.025981101308095	3.6238426036048477	-2.0187813293204946	3.2783434682765407	-2.5159597735626904	-1.798939511391658	1.1105745050943467	-0.1274844524841196	4.261913728115012	0.14276253156646318	1.778320250778932	-1.1176666187538769	-9.530827683426477	-1.647817329786141	3.4536167285059673	0.7251343329399628	-0.8895159725558335	3.163387762537195	-3.6082320817663884	0.06591680691816867	4.32130552365433	-2.314385811955784	5.282898954577156	-1.3465860977521051	1.5374027867162383	1.0109807541243403	1.2232786125269708	3.8242037870482806	2.109704034880948	-0.9270399855885193	3.387316931718359	-0.11464963249375872	1.764515091593805	0.5218254457305135	0.7531545667296136
R-HSA-622323	Presynaptic nicotinic acetylcholine receptors,4	0.4163398746932354	0.26536192119338686	0.4682799284573081	0.3037902421405502	-3.265405072313474	-0.9353227420317051	0.7467564621443886	-1.7781610525301563	-4.299798084721711	-1.7333420370097994	-1.2132384747235663	-3.5294369398411596	1.2233427035990696	3.1305466444233683	0.8995812882743935	-0.8029533080859237	-0.5548727664337213	1.0960478773100275	0.652347894040106	3.3120662625751365	-1.110115870131774	-0.737423452676603	0.5470334182061993	-0.2964347448729468	-0.6093489122951011	1.9520908881033225	0.31479674547212116	-0.5632982592541227	-3.0143244318205014	1.864413540944999	0.17355949866149775	-0.33910120512010383	-2.4201970028584543	2.0745789528528915	0.3454966384806478	-1.9798372773880966	2.887624117196374	0.13235242192840407	-0.237941976042039	-2.305619527237686	0.2793584485668947	0.3084577037254823	-0.7525086891184687	-0.0849389730169708	-1.5030613288071712	0.7590004942113245	-1.1422146191958453	1.7739734574568629	-1.5542308276321164	0.819282366562752	2.742081399065532	2.5563675561118537	-1.292420642103745	-1.768748611280335	-0.665285178234834	-0.5773993288962058	-3.771029314822162	-0.5156001096880987	-0.861704335569373	-2.5643712496834885	0.1346325673987154	-2.62786111448283	-1.1594633580177802	0.5289486264287772	0.794936403999626	-1.5922762185162609	-1.198890732761545	-0.7026354229447814	-1.9177406693473884	-0.637271415847546	-0.8739387374391518	-0.7825605542360458	-0.47850973578397415	-2.485512103758396	1.0977675815419687	-0.522960508754367	-1.8558159895753574	-1.177463771866029	1.5880064833581011	1.1937209140493796	0.27879536389021137	2.140825244482304	2.872976110723272	-0.8900310614514029	1.184380544628398	-1.2380139301012232	-0.5893085135970776	-0.39064195278449754	-0.10018690867143965	0.28986208294121923	0.9521701339684298	-0.7860294637750733	0.5694691941826119	1.7379638546426472	1.6226062592621047	9.305783375697205	-0.716924095612691	0.8873869119161132	0.586580324636508	0.6697394693217307	-0.14053706216206932	0.6755316137376237	0.6719606113629665	-0.3845890174761303	-0.006654563630104091	-1.336297263001706	2.4704780701228986	0.28862589429454566	-0.5619701147819484	2.3366470569754463	0.4301898057974405	1.6211473872434672	0.05957551498055629	0.9183143149587057	-0.2661452674749451	1.2062705200226378	0.7707025103961814	3.7227643664135495
R-HSA-6783589	Interleukin-6 family signaling,12	0.44152231119923946	0.27716214599323136	0.35160563702926256	-0.31135482112506757	-2.0169396995203615	-3.0967261056997897	-0.7630770358119411	-1.1594349860676076	-2.123504748424654	-0.24910098156451238	-0.9044067965929988	-3.483293066594194	0.4656603316300507	0.6558685845252138	1.1687663362937437	1.5664590636215001	-1.129825405573343	3.13612522050286	-2.9455403780530873	-2.3708234252224494	-2.452875440243636	-3.5170034111373627	-0.8637143105022055	-1.7091773696133934	-0.21679455176559093	2.0235716682496885	2.4118439819558604	-0.4298486146868443	-3.3249181568103503	0.23004050916569133	-0.3588413781915496	-0.40955497153400405	-1.9694250714452306	-0.6999931326176249	0.3566979238944464	-3.5266280536910024	1.7677985948045285	2.509160971533955	-1.3780044815323298	1.9569540466121016	-0.26706640520677066	1.2507586845423935	0.3393348228935298	1.136148048050788	0.23341338437252276	-0.7401323192890403	1.1920226171117965	-3.206226588738222	-4.734027672833741	-0.8265231860683145	-1.0552724796475066	-1.4852533521563718	1.0430647788374998	3.0548207230344446	0.34863288515291685	-0.6793956346255672	-1.2689906448853663	0.7015735059787774	-1.6477422958205603	-0.5167477156316508	0.2299991506249791	-0.2573714146745329	-0.5406702993456678	-1.1601569121616502	-5.564462801885475	-3.529004385164781	-1.1894514965366039	0.3832656019696065	2.2761913328539336	-2.815616147829904	-3.9531356699499773	-0.7409153588103977	1.3015047389952876	-3.358252874968979	1.2191857389014376	1.0997983060196417	-1.046304375731011	1.423780552548808	0.7613048618997277	-2.1237500770960236	3.094685086585068	1.5412248177613308	-0.51949271523266	-0.14059310109101658	2.4428871833361914	1.7503835237657357	0.053866093675386376	0.09675968819445292	1.203763443229698	-0.86985078278881	-0.15057970048948907	1.1458976830374714	-0.14483734019895697	0.333960683123626	-2.452220829216931	22.57026789576957	0.648578834865522	-1.4384422877539365	1.3749248118344397	2.367497290139988	-0.5459938015460692	4.000185989457899	-0.9795841509502403	-0.11066422243962581	-0.47750136121798165	1.0797746586850128	1.5713538862566276	0.7375929334095099	-1.859555509113213	-0.8334859484014722	0.6765514507430113	-0.5927900362313213	1.3831097388249352	0.947634129681967	1.4731208245421068	3.155505752368793	3.44245305162106	1.5857870511389034
R-HSA-211945	Phase I - Functionalization of compounds,44	0.49926751167088335	0.2966459591904917	0.21752291670510226	-0.45686952923619784	-5.477884879945347	-3.633267023072975	2.4840292638594406	-1.3694037347741403	-2.0545822366476156	0.7489643257356822	-2.5992968487110186	-0.2621885865408984	1.97685936083055	2.0145265881531396	0.7949362806808785	-2.4487219546737164	0.3636503652995509	1.7583857060630697	-2.436402986281026	-7.444587247654253	-5.9993542848783115	-2.5688969428842516	3.205049202067668	-2.209124779077475	-3.1953528858703732	2.3421170563967992	0.40314731455319847	-2.028122237752436	1.9754482232535664	-4.25435820240855	-0.36115231458465036	0.45052359949067006	-0.8785132659025487	0.7342572417031785	-0.10684199496012368	-5.934539356610251	-0.43257191103444387	2.4582120080912016	0.8927340085160843	0.621180842180943	-3.741445418605942	-0.24791539144363522	-0.962409940731664	1.6143270541443662	-4.411170438370731	2.3558223691337057	2.5164152093926613	-1.5328784180399462	-1.0455983016304018	-0.4266725458173911	-2.505708318022901	-5.825088717854638	-1.2530530240132598	5.306704535802421	2.42601608561254	-2.95458803229591	-0.5156993524931696	-0.4233377482112955	-6.214646732148959	0.10406802455228387	-1.3930745730362577	1.1674819681545967	1.6236799498091434	-4.073077392613328	-8.398478908652201	-0.40460371671129597	-3.505112769941012	-1.2259137908148616	5.1608976297599325	-2.412291610412871	-1.8720389889041906	-0.3331765985218548	1.7207803476726249	-5.08581428878606	1.0518311184219473	-0.5809721086030919	1.6199691271431944	1.450356601457334	-2.587587013860369	-0.31614798947471084	2.7879591260219914	1.8472389447989466	-5.855188829883123	3.3442846692115697	1.110193251486867	3.0017226463638944	-1.3758570685664568	1.9132337693173138	1.2112759827720774	-0.07537660670793729	0.007046233726023749	2.6060106754358188	-0.27573091920455994	0.30768515109175526	-0.2576087815992089	32.103761004251034	3.464117102769503	2.7320642392550774	2.5009671788666346	1.3419527665191013	1.47859057360487	4.957652235998907	-1.9916043510295574	-1.2067236676587112	-2.6059713224492245	1.1215985648697262	2.4769847552869777	0.4295622175242419	1.4914944981949338	1.7070031725709054	1.0321137716971986	0.9358135294977452	0.7644671731627769	0.6244636617515748	-1.463860035274541	2.331580944537116	1.90284020837478	2.175537929757697
R-HSA-5688849	Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5),4	0.006949178415965948	0.013685195043910971	0.6340054548813701	1.4157326320986763	-0.11980448349900595	-5.705867489024842	1.1340855103162923	0.8185699690665489	0.45529361908789945	2.753572981176329	1.4102279322150422	0.581517547041324	-3.6457290046522637	1.544441836537846	2.7872946169291004	-2.0355997924205047	-1.633141747392352	5.4486809715199165	-4.948114365457096	-1.516048090329042	-1.3835663862568492	-3.584776630340097	-0.7797741209258363	0.25689546311027595	1.4168539595161467	1.5658269124323603	-2.5464418638447803	-4.733259429904019	2.6591932247918	1.516477068169429	5.410218820164856	-0.03751888033718087	-2.5718631310061033	1.7217969624926073	0.5034875962734106	1.9400623284075014	0.24398658580352361	-0.33352985058416756	3.2872767881654346	0.7745338746515478	-2.5566853409805574	1.7893266922603557	2.1164942554214377	-0.9815559504740251	0.394314719460749	-6.1952508923636	-0.9730915905537527	-3.954278550273384	0.10877017460047798	2.238107489820682	1.539375676007354	-0.13581552702477515	-2.476822722250416	-1.615077438321144	-1.6849347434300566	1.3335009959580515	-2.593712631073271	-1.5868550578003808	0.3973452445665354	0.7423245845068602	-3.9030373883885225	0.576517896064132	-0.9564941237570356	0.1713166382840441	-3.885248505478447	-1.7240565931571075	3.12374569981155	2.6812541608942673	-4.014063972930201	3.0235059988998003	3.9430986847962792	2.6109494382708163	2.7525760418884335	-3.6275825306812837	-2.646261559058847	-1.3629852843116346	-1.5505320896971733	0.9242079048498563	-0.43882553886779097	-2.61185310048741	-0.13965443818474046	-0.22120462673397526	1.3755929128971007	2.34048800260291	4.717808937413695	-4.093287214335813	2.78426038803427	-1.1512444161556636	4.179030780701871	-1.4746328014358034	2.4983007152237255	6.4942621026534715	3.6885630723405507	0.13075229013389134	-5.787780591755871	-9.700602080428732	-1.2306520952517304	3.46016805953698	-1.5532251721686585	4.6710325714273315	3.7153738711294038	2.2187480922237452	1.5515204798150046	-3.6745434819104257	-2.3622340980874554	-0.8553147056209228	-1.0094493570161007	2.627370689949657	-3.194177206425995	-3.6252070166378902	1.6785587262074269	2.9469365247396797	1.6350549966472732	4.103943544056773	-1.3492746777749116	2.6788102308061785	-0.8071006498550296	1.0860371743428259
R-HSA-390471	Association of TriC/CCT with target proteins during biosynthesis,5	0.7574524745966986	0.3819667267574161	0.49004143055920185	-0.1888826832358848	-0.06691786793204771	-3.2251339825939995	0.8447268470593787	-2.0362341396973167	-1.2293787201138695	0.5807384097776817	0.014741777815828172	-0.7242049701598602	-0.23858986511648905	3.0374944740443404	0.18748034527839297	-0.024907090316291167	1.214853683852205	-1.3317012151740737	0.7785787120509621	2.0832369445661256	-0.6397850851051315	-2.0295580958485537	-0.09162345658312807	-0.32228902367397955	0.19234479526989023	-2.9452949484535846	0.8306426255208392	0.47644400107218493	-3.147837855365097	-1.1717368859573365	-0.7963104383002382	-4.472512627782847	-1.9396967908041796	2.2270629572669236	0.6406523762975803	-0.7867008071486229	1.289629491942397	-2.9428884503797557	-0.2994206888464895	1.5397228773059914	1.2625721997805097	0.7505711985032602	-1.2005546622690246	0.9610494874246277	0.5136171104443144	3.676602593418644	2.7470085659665022	-0.31793421866496474	-2.329614004609058	0.7736141817472215	-1.6272532433233	0.2298212135816427	-0.55792908673328	3.105128249890044	-4.4016566056425095	-2.5495442687092793	1.1651216618147173	-0.6183422336632647	-2.8834644605989057	-2.7216007795114825	-2.279293533632116	1.190023223622791	-0.3441720528056028	-2.2146608648377386	-0.9006608863949307	-2.029474867019622	-0.3677450900335135	-1.7436403124736868	-2.4499901742804324	-1.1999336820858035	-2.0698796804866353	0.5518726163415348	0.7707123036681779	-1.0771533680218413	-0.3889861416094069	-0.5343070013225525	-0.37816512162304733	0.8296958150638724	-0.04769609247381455	-2.579147132603014	-1.2087832875654	0.708499064188221	-0.947912576906531	4.404528961353032	0.8562386862597292	-0.19787100239277872	-4.7824870808643585	-2.2103130738329364	-0.06439635105565981	0.7276193009212909	1.001928173264927	1.407167719530705	0.779503344572705	2.837766712922612	1.061288072711018	14.352472718043206	1.2546958216490025	1.4859614964249463	-4.314822148404346	0.061567660962216886	0.21846482672455514	1.724696417424328	1.9615115807754329	0.22576278300194838	0.0956425296255156	3.25804331664916	0.9254072264954846	2.7671566902225413	0.969379564721167	1.0046984130499639	1.2724019623939173	1.6151460519427687	-1.1501219541556604	2.1964507396524975	1.0476013845987793	-2.914596064618378	-1.8219846003606683	5.201448750467968
